Date,^PUT,^SPX
1996-08-05,100.0,100.0
1996-08-06,100.13566653752616,100.32564780117012
1996-08-07,100.19381919737698,100.59524601912064
1996-08-08,100.2519619991739,100.35745822766837
1996-08-09,100.27779995839903,100.2832338991725
1996-08-12,100.35855713580162,100.83910746654774
1996-08-13,100.35210011050881,99.99546093594576
1996-08-14,100.41669993759854,100.27566262939567
1996-08-15,100.4393143132042,100.31050526161647
1996-08-16,100.44900478017034,100.75428890708211
1996-08-19,100.55883335847138,100.96179161942712
1996-08-20,100.62020960194164,100.82698788818702
1996-08-21,100.69450975405141,100.73308195608328
1996-08-22,101.05630033152634,101.5827836536008
1996-08-23,100.86571457582272,101.02995153647778
1996-08-26,100.64928100284011,100.55284136165264
1996-08-27,100.87540504278888,100.93452950151276
1996-08-28,100.83340973325095,100.69370025980824
1996-08-29,100.22289059827546,99.57136813861763
1996-08-30,99.61882848859277,98.7519515202074
1996-09-03,100.06137624347029,99.1654408420361
1996-09-04,100.15504747145849,99.30024457327619
1996-09-05,99.30225680427527,98.36572431629305
1996-09-06,100.47161915577601,99.3108480487756
1996-09-09,101.2856479550946,100.53466661637643
1996-09-10,101.38578606642949,100.54223788615325
1996-09-11,101.6506719742429,101.06781712989155
1996-09-12,101.89617694812398,101.6539757763741
1996-09-13,102.2579675255989,103.07620043915216
1996-09-16,102.33549126132814,103.59723137430659
1996-09-17,102.34841516996764,103.43971383373605
1996-09-18,102.38395345421279,103.21705933730776
1996-09-19,102.4259389056969,103.44880120637416
1996-09-20,102.50347249948003,104.05919900957808
1996-09-23,102.54546780901799,103.97588730844411
1996-09-24,102.58099623520928,103.84411578292662
1996-09-25,102.5648487429503,103.87744231228615
1996-09-26,102.63913903700619,103.88198137634038
1996-09-27,102.6908248135103,103.93196654811483
1996-09-30,102.75220105698055,104.10463587276865
1996-10-01,102.9007915031462,104.36969502666493
1996-10-02,103.13660601006114,105.1164034194406
1996-10-03,103.13983945173446,104.93010765809441
1996-10-04,103.53715845540069,106.24479995207636
1996-10-07,103.63083954144277,106.52954995411017
1996-10-08,103.58562064828531,106.12059969633572
1996-10-09,103.57269673964582,105.52989274126932
1996-10-10,103.58884423190477,105.20727714582176
1996-10-11,103.7923538962479,106.12362265752866
1996-10-14,103.860187165011,106.55983503321747
1996-10-15,103.86665404835769,106.41292096814634
1996-10-16,103.90864935789563,106.69160655873497
1996-10-17,103.94417778408692,107.08238207123321
1996-10-18,104.18644931629464,107.66248555080023
1996-10-21,104.14768744843003,107.51556224119942
1996-10-22,103.95710169272641,107.01877046276643
1996-10-23,104.05400636238792,107.12479597323086
1996-10-24,103.71483016051863,106.37050706614872
1996-10-25,103.61791563280323,106.16300435380373
1996-10-28,103.4725586283109,105.60865613381942
1996-10-29,103.80850138850685,106.25085511899195
1996-10-30,103.7665159370228,106.15998139261077
1996-10-31,104.1832158746213,106.82187122592082
1996-11-01,104.10569213889205,106.59467766543831
1996-11-04,104.50624458423161,107.04300037495817
1996-11-05,104.90357344595171,108.16534174067843
1996-11-06,105.33966417553641,109.74812539427926
1996-11-07,105.35904510946874,110.2115998878824
1996-11-08,105.49794508866823,110.6917330239005
1996-11-11,105.57870226607082,110.85076666733231
1996-11-12,105.6077736669693,110.50088895397043
1996-11-13,105.6465355348339,110.73868598995236
1996-11-14,105.67238335211293,111.45813226481367
1996-11-15,105.4010404190067,111.72167531584867
1996-11-18,105.39780697733336,111.63080158946752
1996-11-19,105.7854453720873,112.40931116421173
1996-11-20,105.766064438155,112.68043472955318
1996-11-21,105.79835942267293,112.49867803226124
1996-11-22,106.21506921832533,113.40442006846871
1996-11-25,106.45734075053308,114.66156516542905
1996-11-26,106.4024313904095,114.49949931627464
1996-11-27,106.46057419220641,114.35409210953516
1996-11-29,106.56394574521467,114.6600490625678
1996-12-02,106.68992181577468,114.5903730426558
1996-12-03,106.23445015225765,113.3362693959477
1996-12-04,106.42181232434183,112.85461091253867
1996-12-05,106.3378217052659,112.7455624408813
1996-12-06,106.06970235577916,112.02156785743611
1996-12-09,106.89666492179116,113.56043075070765
1996-12-10,106.81267430271521,113.22417947403811
1996-12-11,106.44441684189358,112.19272107922865
1996-12-12,105.36227855114213,110.46150725769542
1996-12-13,105.58515929136367,110.36154615867618
1996-12-16,104.51271146757834,109.20133919954216
1996-12-17,105.5367069565329,109.96773844045534
1996-12-18,106.18599781742688,110.80078149555791
1996-12-19,107.54272234101177,112.95458125608762
1996-12-20,107.59117467584251,113.42562701946761
1996-12-23,107.60732216810149,113.13027354193441
1996-12-24,107.89804603513997,113.75279092349903
1996-12-26,108.20492725249133,114.47829236527589
1996-12-27,108.2210747447503,114.62520643034702
1996-12-30,108.19200334385184,114.17990668202009
1996-12-31,107.5459459246312,112.19423718208998
1997-01-02,107.39412203679221,111.62928548660626
1997-01-03,108.32767973943189,113.29840380253403
1997-01-06,108.2824509882206,113.24084736098277
1997-01-07,108.69270375858018,114.0860007499164
1997-01-08,108.40520347516114,113.35595099955566
1997-01-09,108.7508465603771,114.33136905567515
1997-01-10,109.09648964559308,115.03567279098282
1997-01-13,109.26446102569105,115.03718889384412
1997-01-14,109.47120413170752,116.45335838970661
1997-01-15,109.51965646653832,116.20193491703232
1997-01-16,109.57134224304244,116.58816212094666
1997-01-17,109.75546111539936,117.56054797134354
1997-01-20,109.92989937884403,117.64082746675493
1997-01-21,110.34660917449641,118.55262466987794
1997-01-22,110.56949977277183,119.08425908053178
1997-01-23,110.01388999791995,117.77108288941109
1997-01-24,109.70055175527578,116.7047911069105
1997-01-27,109.35814211173313,115.87174805180791
1997-01-28,109.36459913702595,115.87174805180791
1997-01-29,109.99773264760708,117.00468364849795
1997-01-30,110.67932835107288,118.77224696058366
1997-02-05,110.05181762298484,117.11991827837407
1997-02-06,110.42832602393898,117.40132557017344
1997-02-07,110.9785984679428,118.81739079631689
1997-02-10,110.84665996232663,118.19588463380968
1997-02-11,111.08800873151334,118.82190977234552
1997-02-12,111.3647604268442,120.80530855811631
1997-02-13,111.4741706904147,122.16720118137991
1997-02-14,111.5288709119467,121.66457531712192
1997-02-18,111.6189740596228,122.83986729608118
1997-02-19,111.65759811191818,122.26802394533583
1997-02-20,111.69621234370702,120.80981834923435
1997-02-21,111.57392739603802,120.65482298239858
1997-02-24,112.27866658770374,121.93545670134239
1997-02-25,112.4106050933199,122.19880645884847
1997-02-26,112.04375025031297,121.24321754209433
1997-02-27,111.39049997453456,119.64656778810748
1997-02-28,111.13949764740066,119.00700409130702
1997-03-03,111.58680208013647,119.68268285669406
1997-03-04,111.35510686889695,119.02656795094317
1997-03-05,112.38485572512296,120.68792540029942
1997-03-06,112.09846029235146,120.17176097777677
1997-03-07,112.67769341019695,121.13636947676693
1997-03-10,113.33094368597534,122.44259235671844
1997-03-11,113.2923294541865,122.09497104420683
1997-03-12,113.012366453211,121.02953059635016
1997-03-13,111.9954824605769,118.81739079631699
1997-03-14,112.58115783072485,119.36064152027951
1997-03-17,112.95122397937646,119.74288076094544
1997-03-18,112.41381639896453,118.8324356799245
1997-03-19,111.98260777647839,118.2470537709145
1997-03-20,111.4098070904289,117.77753950946794
1997-03-21,112.15960276618591,117.9957362463302
1997-03-24,112.68091453634813,119.01753918379659
1997-03-25,112.75171056812982,118.74365433380099
1997-03-26,112.91260974758764,118.9588476048881
1997-03-27,111.55784140629478,116.45777807125182
1997-03-31,110.01320339119596,113.93563835263647
1997-04-01,110.470161381879,114.31486494261662
1997-04-02,109.15078614622371,112.88073299726929
1997-04-03,109.24088929389984,112.91233827473786
1997-04-04,110.37040467625567,114.05302151045345
1997-04-07,111.09445098381579,114.68957255656818
1997-04-08,111.71229833345006,115.29000853409634
1997-04-09,110.88849532026666,114.45932521696291
1997-04-10,110.59244632954797,114.11923553116571
1997-04-11,107.593283267533,111.00568860216886
1997-04-14,108.64556036580464,111.92063428939719
1997-04-15,110.32534819216436,113.57446929694966
1997-04-16,111.69299121755567,114.90025603653731
1997-04-17,111.25212903712234,114.63539995368835
1997-04-18,111.68333765960845,115.3231201369078
1997-04-21,111.33579975300249,114.42471647371926
1997-04-22,112.23039879796761,116.56762960235444
1997-04-23,112.13385339798899,116.42166300266533
1997-04-24,112.07593205030575,116.05146517983182
1997-04-25,111.75413369139015,115.17714435230808
1997-04-28,112.28832014565083,116.31933391336653
1997-04-29,113.08959491678858,119.49306956170409
1997-04-30,113.18291919061592,120.59011528702936
1997-05-01,113.20544743266161,120.1672511866589
1997-05-02,113.48541043363713,122.34025408250915
1997-05-05,113.58838826541171,124.94666535613
1997-05-06,113.58516713926046,124.56594162571758
1997-05-07,113.5915995710564,122.73904453212545
1997-05-08,113.65918429719339,123.43729980783439
1997-05-09,113.69779852898223,124.11749754925006
1997-05-12,113.76859456076392,126.05574331437701
1997-05-13,113.78790167665834,125.37404843252908
1997-05-14,113.81042991870399,125.81195741650708
1997-05-15,113.82651590844715,126.69079722005947
1997-05-16,113.1282091485774,124.86540645181022
1997-05-19,113.5272457915772,125.39511861750813
1997-05-20,114.2609456570845,126.65768561724806
1997-05-21,114.19014962530281,126.31006430473644
1997-05-22,114.11935359352113,125.75477216294149
1997-05-23,114.85305345902843,127.46580160897018
1997-05-27,114.96889615439487,127.8691018497045
1997-05-28,114.96889615439487,127.49288791041012
1997-05-29,114.83695764877868,127.02186732362067
1997-05-30,115.12336290205671,127.65390857861738
1997-06-02,115.12014177590547,127.36496966010364
1997-06-03,115.06865286001818,127.23254161867916
1997-06-04,114.8916676908172,126.42443481186763
1997-06-05,115.05578799642626,126.92404802543986
1997-06-06,115.91177280960257,129.11813029117974
1997-06-09,116.09197910495477,129.8555041012504
1997-06-10,116.24000360031413,130.21065704047635
1997-06-11,116.3333278741415,130.85774317908061
1997-06-12,116.44594944335671,132.9479900301788
1997-06-13,116.50709191719122,134.42425316057358
1997-06-16,116.57788794897293,134.51905980806865
1997-06-17,116.60363731716986,134.59730606170265
1997-06-18,116.63903042280741,133.79070558023403
1997-06-19,116.65512623305712,135.1345406692043
1997-06-20,116.61651200126828,135.24138873453177
1997-06-23,114.94637773285578,132.21963580234416
1997-06-24,116.69374046484594,134.8862449802164
1997-06-25,116.1756400003284,133.7801704877445
1997-06-26,115.8441880834656,132.9810924480796
1997-06-27,116.29471364235269,133.52584949738505
1997-06-30,116.07910442085637,133.2008046951954
1997-07-01,116.7259222648388,134.08716694055153
1997-07-02,117.6237326154486,136.0434794248824
1997-07-03,118.34777892300869,137.9832315153522
1997-07-07,118.30916469121988,137.2729440067215
1997-07-08,118.56660927065627,138.2586226906907
1997-07-09,118.15791906970927,136.5716760803268
1997-07-10,118.48293855477611,137.51071378813052
1997-07-11,118.71785489216688,137.94711644676562
1997-07-14,118.88196537726938,138.20294376246795
1997-07-15,119.02355744083278,139.31352804605785
1997-07-16,119.07182523056878,140.94328940285615
1997-07-17,119.09435347261447,140.1938649900425
1997-07-18,118.77577623985012,137.7394456174823
1997-07-21,118.79186222959326,137.3843018631669
1997-07-22,120.21099417087187,140.55051506970074
1997-07-23,120.3461538026393,140.93877042682752
1997-07-24,120.5971561297732,141.50158501042625
1997-07-25,120.61324211951634,141.27435032150672
1997-07-28,120.63254923541074,140.9222192178771
1997-07-29,120.84815845690709,141.80104983651887
1997-07-30,121.20857104761151,143.30590559369648
1997-07-31,121.30189532143886,143.6098893958177
1997-08-01,121.15064969992828,142.53091038969637
1997-08-04,121.51106229063271,143.0064407676038
1997-08-05,121.67839390188644,143.31794701152887
1997-08-06,121.80389997570664,144.51430917546716
1997-08-07,121.80389997570664,143.14037513437117
1997-08-08,121.40486333270684,140.48430104898847
1997-08-11,121.75562236546405,141.00498444753973
1997-08-12,121.54002296447428,139.4294048785319
1997-08-13,121.57541607011186,138.75071346245912
1997-08-14,122.00019226080201,139.16454879568298
1997-08-15,120.82240908871013,135.55891109491765
1997-08-18,122.02594162899891,137.31658151711179
1997-08-19,122.88513774781991,139.3511494399873
1997-08-20,123.67675896101045,141.35862187651222
1997-08-21,122.82078396834073,139.20667998073043
1997-08-22,122.73389212630931,138.9794452918109
1997-08-25,122.85617707397832,138.47080331109203
1997-08-26,122.30911593561915,137.39634328099933
1997-08-27,122.6373565468373,137.49867237029812
1997-08-28,121.9326173551716,135.98929763709188
1997-08-29,121.7620646177666,135.35725638209516
1997-09-02,123.86018638251394,139.58741289605345
1997-09-03,123.80869746662665,139.62954408110087
1997-09-04,124.01787425632705,140.08250713359703
1997-09-05,124.15624519373918,139.80862228360144
1997-09-08,124.55205089008116,140.13216994535887
1997-09-09,124.8127067751623,140.49634246682086
1997-09-10,124.09832384605595,138.3007630606487
1997-09-11,123.74755499279217,137.33163558562993
1997-09-12,124.7290458797887,139.0351242200336
1997-09-15,124.74835299568309,138.41212091709417
1997-09-16,125.5818095668137,142.30518202611972
1997-09-17,125.65582672474665,141.9078979018463
1997-09-18,125.70731564063395,142.55347771510765
1997-09-19,126.01301818929984,143.03804604507235
1997-09-22,126.53755108561333,143.77843250582876
1997-09-23,126.46997617998288,143.2517329908166
1997-09-24,126.06128597903587,142.1306136147372
1997-09-25,125.7040945144827,141.14192228008224
1997-09-26,126.30263474822254,142.24197147118264
1997-09-29,126.95588502400096,143.46392279612863
1997-09-30,126.56651175945493,142.5519805746754
1997-10-01,127.1618406875501,143.775419855143
1997-10-02,127.40318945673681,144.5353793604462
1997-10-03,127.76360204744124,145.22309954366563
1997-10-06,128.13366819609286,146.375815012303
1997-10-07,128.48442722885008,147.94537846484997
1997-10-08,128.35893097553642,146.54887709834267
1997-10-09,128.39432408117395,146.06430876837797
1997-10-10,128.39432408117395,145.51653906838678
1997-10-13,128.62280798676878,145.6850821783978
1997-10-14,128.7515253662337,146.0131488161839
1997-10-15,128.77726491392403,145.3269257733967
1997-10-16,128.83197495596258,143.75134620438888
1997-10-17,128.63567285036066,142.08245712831825
1997-10-20,129.54314657942422,143.80551880726875
1997-10-21,130.42809206644213,146.31411996761943
1997-10-22,130.33476779261477,145.74377375730631
1997-10-23,129.17951286256852,143.06513234651234
1997-10-24,128.74187180828648,141.70323972324874
1997-10-27,121.26971352144594,131.9743435791314
1997-10-28,126.69845026507107,138.72512430145153
1997-10-29,126.84004232863447,138.32031773537432
1997-10-30,125.10876558638746,135.99080396243482
1997-10-31,126.37021947435952,137.63711652818353
1997-11-03,128.86093562980417,141.30444927363246
1997-11-04,128.95103877748025,141.5708116818243
1997-11-05,129.015402377466,141.87178283325983
1997-11-06,129.06688147284672,141.15998899928624
1997-11-07,127.86979118486042,139.576877803564
1997-11-10,127.61235642593054,138.61677909569187
1997-11-11,128.06931441661357,139.01556954530815
1997-11-12,126.28332763232805,136.33391548382843
1997-11-13,127.72176668950104,137.9441037960799
1997-11-14,129.41120807380796,139.70328054361693
1997-11-17,131.14248481605492,142.3894535811253
1997-11-20,131.87363702627468,144.55862493991458
1997-11-21,131.96662746009977,145.17818182973923
1997-11-24,130.7897337965615,142.70299045710274
1997-11-25,131.33809550762473,143.32857371742347
1997-11-26,131.63953639824578,143.45218331683532
1997-11-28,131.80308682237597,144.01897496269817
1997-12-01,133.49307198823132,146.93884807398544
1997-12-02,133.3872515755865,146.47305103718426
1997-12-03,133.95485336167604,147.2403322089707
1997-12-04,133.80734285767207,146.68710219686545
1997-12-05,134.38135473996823,148.29853526638445
1997-12-08,134.5096349553523,148.0844841067033
1997-12-09,134.51283511025238,147.0910990342435
1997-12-10,134.25629425229707,146.18814632148744
1997-12-11,133.1307009312247,143.9496302994479
1997-12-12,133.26539124281544,143.71598193494742
1997-12-15,134.371734702455,145.2234026098739
1997-12-16,134.72448572194838,145.92434770337533
1997-12-17,134.78220594702734,145.5474925346437
1997-12-18,134.48397499771283,144.00389523560958
1997-12-19,134.13443391952597,142.71957907695688
1997-12-22,134.73731570076805,143.7627116078476
1997-12-23,133.8714731789576,141.5663985804119
1997-12-24,133.70472259992724,140.59712819050208
1997-12-26,134.2530843109905,141.16391983636493
1997-12-29,135.51977803986017,143.70994636388582
1997-12-30,136.27979036261942,146.3464328528073
1997-12-31,136.3182705126721,146.28462345281855
1998-01-02,136.56840127442078,146.9795421758239
1998-01-05,136.73836179475765,147.2855529891055
1998-01-06,136.56519133311426,145.70427017319813
1998-01-07,136.63895147831946,145.31535306290874
1998-01-08,136.55878123690763,144.1169517862291
1998-01-09,134.99706650002997,139.84190896027346
1998-01-12,136.35675066272478,141.57846052196973
1998-01-13,137.18090309317606,143.52453656505088
1998-01-14,137.3765235711523,144.40185650192598
1998-01-15,137.41500372120495,143.31500288310036
1998-01-16,137.30597336725364,144.94000678694258
1998-01-20,138.42193686440638,147.5161835680751
1998-01-21,138.05636565249972,146.34190617451102
1998-01-22,137.67475452046682,145.17063736591217
1998-01-23,137.49196402131028,144.34910045852976
1998-01-26,137.6426844666208,144.25262332719873
1998-01-27,138.56303727220373,146.07208118590282
1998-01-28,138.9221983879038,147.34434460356337
1998-01-29,139.30060936503654,148.55479862123516
1998-01-30,139.2941894824235,147.7694383379605
1998-02-02,139.9772415050774,150.9335128625406
1998-02-03,140.18889211677345,151.64651989759977
1998-02-04,140.26585241687874,151.7821914385694
1998-02-05,140.2113421331063,151.27569109936425
1998-02-06,140.42940284100897,152.62031696580593
1998-02-09,140.51278302372734,152.3610358254244
1998-02-10,140.65067349021817,153.60767566776957
1998-02-11,140.70839371529718,153.75841773526224
1998-02-12,140.756493902863,154.38098321005208
1998-02-13,140.76611394037616,153.77047967682003
1998-02-17,140.88797427314722,154.172958420867
1998-02-18,140.93287430581293,155.57786639340068
1998-02-19,140.96493457325252,155.0050575776074
1998-02-20,141.28882548020644,155.89894773320526
1998-02-23,141.62874652088016,156.49137215494912
1998-02-24,141.3689957216183,155.34875390776216
1998-02-25,142.0039475567064,157.20890586830464
1998-02-26,142.2861483723011,158.07869054191818
1998-02-27,142.3791388061262,158.17967595041424
1998-03-02,142.41120885997225,157.93245675159054
1998-03-03,142.635689450488,158.5836727877923
1998-03-04,142.53306919274326,157.87668292266355
1998-03-05,142.04242770675904,156.02558431871364
1998-03-06,142.9403304960091,159.13688439876628
1998-03-09,142.9852305286748,158.62739387572717
1998-03-10,143.3123215905288,160.42724532904634
1998-03-11,143.43739186460635,161.0633724375938
1998-03-12,143.501522185892,161.2819594761369
1998-03-13,143.4887019934787,161.08447853517853
1998-03-16,143.65866251381556,162.69139412696688
1998-03-17,143.70034281876832,162.86925946197468
1998-03-18,143.76448292646035,163.63353204879593
1998-03-19,143.7997629216129,164.26965915734334
1998-03-20,144.1076139084406,165.68965605753132
1998-03-23,143.95368352182354,165.14547940201865
1998-03-24,144.39301487893542,166.66797060346806
1998-03-25,144.02744366702876,166.10721452866696
1998-03-26,144.08195395080122,165.93687525635502
1998-03-27,143.83503313035905,165.1288815815989
1998-03-30,143.79655298030642,164.85152132972917
1998-03-31,144.3128446375236,166.0800728600205
1998-04-01,144.79386608599464,167.04482577219966
1998-04-02,145.35505777587753,168.83262448452666
1998-04-03,145.52501829621437,169.23811181353884
1998-04-06,145.63725859147226,169.03914038094635
1998-04-07,145.37429785090387,167.2558683469156
1998-04-08,145.27809747577223,166.0650023334975
1998-04-09,145.88738935322095,167.42469872646214
1998-04-13,146.07017985237744,167.27695604336907
1998-04-14,146.34276063045903,168.1904618049175
1998-04-15,146.48065109694986,168.72860288936846
1998-04-16,146.50951120948935,167.04784355773052
1998-04-17,147.1829431946301,169.2411295990697
1998-04-20,147.51645413909716,169.38132781833562
1998-04-21,147.7986549546919,169.83657180634438
1998-04-22,148.11612597903272,170.4199428714957
1998-04-23,147.58700434299584,168.76779729900704
1998-04-24,146.8558521327761,167.00714025532648
1998-04-27,145.0279667140235,163.78729190181934
1998-04-28,145.50577822118805,163.57172264880714
1998-04-29,146.29466044289322,165.00528118275267
1998-04-30,147.744134884513,167.5874935349469
1998-05-01,148.5426273573249,168.98185765925385
1998-05-04,148.6741077276091,169.1431435749732
1998-05-05,148.30853651570246,168.1527762880443
1998-05-06,147.60303447671566,166.5579318383794
1998-05-07,146.8975324377289,165.08367000202983
1998-05-08,148.43680694468014,167.0433168794342
1998-05-11,148.638837518863,166.81720377819522
1998-05-12,149.25133933761825,168.19649737597916
1998-05-13,149.63936056585774,168.65926742668384
1998-05-14,149.8959014238131,168.4346632182103
1998-05-15,149.2833996050578,167.1322495469381
1998-05-18,149.26095937513136,166.69358497821773
1998-05-19,149.67784071591038,167.2513416686193
1998-05-20,150.33844272223143,168.6894268808611
1998-05-21,150.2133822345603,168.02314031813637
1998-05-22,150.1396220893551,167.3945392722848
1998-05-26,148.77993792666032,164.9148396224833
1998-05-27,148.88896828061164,164.64500543330948
1998-05-28,149.4597800080077,165.45448959969974
1998-05-29,149.00120857586953,164.43245396582807
1998-06-01,149.09740895100114,164.45657784894365
1998-06-02,149.39563990031564,164.7942386080367
1998-06-03,148.22836627429055,163.21295579212935
1998-06-04,149.85101117755372,165.0369311285641
1998-06-05,151.50892628956305,167.9055570892206
1998-06-08,151.7366168213853,168.18593512662113
1998-06-09,151.97391760431432,168.59144085676465
1998-06-10,151.6179566435144,167.6673912469895
1998-06-11,150.03059173540373,164.99924561169092
1998-06-12,150.72967389177745,165.64140829130008
1998-06-15,148.1962962204445,162.3507155823429
1998-06-16,149.6297405283445,163.94556003200785
1998-06-17,152.16311819967746,166.88804813364527
1998-06-18,152.39079894509325,166.7765004757912
1998-06-19,152.10539797459845,165.9142602660048
1998-06-22,152.5864194230695,166.3001503901977
1998-06-23,153.5356323411919,168.75423566524944
1998-06-24,154.04551390220246,170.77267415711174
1998-06-25,154.00382381084324,170.23000639436447
1998-06-26,154.23792443887214,170.8209035222116
1998-06-29,154.53295523328654,171.6183349476097
1998-06-30,154.47522522180114,170.91738065354264
1998-07-01,154.94983657406556,173.13631787189414
1998-07-02,155.0107667404511,172.81372763932413
1998-07-06,155.24485758207354,174.45831034685432
1998-07-07,155.25768756089323,174.055840803373
1998-07-08,155.40199790999714,175.82253341811526
1998-07-09,155.4116179475103,174.64373854682057
1998-07-10,155.47254811389584,175.51350481930285
1998-07-13,155.56874848902748,175.6431407892108
1998-07-14,155.62005861789982,177.5108372135804
1998-07-15,155.65853876795248,177.09329714357608
1998-07-16,155.68098878428535,178.47709901852505
1998-07-17,155.62326855920637,178.89314859689526
1998-07-20,155.60402848418005,178.49367843781346
1998-07-21,154.18020421379322,175.62505247715694
1998-07-22,154.20264444371966,175.47581930242973
1998-07-23,152.0059876581603,171.80827142474092
1998-07-24,152.09577793708533,171.96655795606074
1998-07-27,152.81089022717885,172.94185471646665
1998-07-28,151.2106953402485,170.37471289079542
1998-07-29,150.57895344646693,169.61647587503592
1998-07-30,152.5992396154828,172.29063868026492
1998-07-31,149.8670413112735,168.9321194013886
1998-08-03,149.30905956269714,167.69149672897385
1998-08-04,143.9697234419497,161.61358466416823
1998-08-05,145.08568693910243,163.01700214506775
1998-08-06,146.3684108016919,164.2530797380549
1998-08-07,146.33955068915242,164.22593806940847
1998-08-10,145.685358779038,163.27476519211817
1998-08-11,143.55604225607078,161.14025236410555
1998-08-12,145.69497881655118,163.43756000060296
