ticker,realized_volatility,systematic_volatility,idiosyncratic_volatility,oos_r_squared,residual_return
PRPFX,0.1133504552086063,0.07710440516322575,0.05703350843305908,0.7468291852846676,0.1260777573772608
DBMF,0.1184665406308173,0.06667863573305811,0.12251808034541023,-0.06956936108032874,0.07176927366751581
KMLM,0.1433816826337731,0.11986033288510148,0.14848784344981678,-0.0724929705376518,0.021764754174768745
BTAL,0.20048245133648548,0.052401568997967066,0.173251178711467,0.25320798052544957,-0.04841464495365734
RPAR,0.12815353252956843,0.12147449754288625,0.04866757931190524,0.8557823791542031,0.022544492539209187
MNA,0.05043072446173257,0.026933749135548368,0.04367999359521959,0.24980404536898693,0.03730946750039916
CTA,0.17103910701629965,0.16926016728232007,0.24630934202236512,-1.0738193732146697,0.08220620735365805
MTUM,0.21746973820801732,0.1600242161465068,0.12243317913737742,0.683042823104545,0.17803894040189838
QUAL,0.1728404696710195,0.14203111526540974,0.06817827281749626,0.8444030376285265,0.14872605079205445
USMV,0.12332262614960708,0.10169405395959862,0.07233744662587727,0.6559347427509878,0.0907278672677657
VLUE,0.1862915554385862,0.13341253922613397,0.09691703474437445,0.7293463436834351,0.19871865459231414
JEPI,0.11149960616075925,0.09660899905205847,0.05762759542547103,0.732875125980432,0.08665621804227815
DIVO,0.11926820299221431,0.11235346096882322,0.06129756185715502,0.7358582507889599,0.1217051149294538
ARKK,0.45976110315381336,0.23146815765764842,0.31923990971659244,0.5178636161052255,0.14171284930555034
QAI,0.06773188613091714,0.04133933050481846,0.037670090899330363,0.6906807153114773,0.06607366938832092
^PUT,0.10978184863860845,0.09488866522934768,0.0685892287138016,0.6096530780434296,0.09668526337522924
