Ticker,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8
ACWI,0.34492123092603044,0.11177785456995389,0.002075863915882125,-0.046390890494026,-0.03611166427872148,-0.07372690154969022,0.05708535484079056,-0.09066944308872864
SPY,0.3418217816076366,0.09089245111801689,0.11001222972720408,0.0850995408056878,-0.05713004485368174,-0.08489146227836737,0.057201969364510455,-0.004853818224316372
DIA,0.3297557240544201,0.05942043473903669,0.0865602289896241,0.04263127146658499,0.019696646961920996,-0.07131197077883016,0.08094328575543806,0.013813687409326198
QQQ,0.30408785722248843,0.0982520243158116,0.13441192478904165,0.17725524092485284,-0.12080361578646322,-0.22486329131370222,0.17741632153826772,-0.11004402182295814
IWM,0.30999253892003,0.09438219230858316,0.08899561295813072,0.1301819134389201,-0.08578395820376286,0.041855459920197735,-0.12479785535715215,0.012679811721394258
EFA,0.31786023339880265,0.11121067483333955,-0.08474617694539743,-0.21214361890366257,0.004582543493426909,-0.06312310080662825,0.07150247879465614,-0.11186099956331494
EEM,0.2838001138205611,0.14154495384719093,-0.0395746986625667,-0.04894192953001717,-0.1334894030870712,0.004701212581278097,0.027515501221999687,-0.2784501315833719
AGG,-0.1384991377881256,0.3987441869077269,0.0910154005988967,-0.014454993694540008,0.07128902089531776,-0.04701398786603982,0.04200917094990025,0.0012586187182692435
SHY,-0.13743655164849347,0.30119442375212513,-0.07877680406828491,0.12985726925693863,-0.21230107032930082,-0.3282183200304654,-0.5889819559823909,-0.04367028587725154
IEF,-0.19892588820825718,0.3573537270553531,0.06854111163681813,0.0007345010717280234,-0.0005710328779295461,-0.028036308006370348,0.03157738965702861,-0.06259698234594385
TLT,-0.20284932150249652,0.33887671223769167,0.14473658606731982,-0.02785150992976957,0.0653242777337775,0.08089057441286666,0.2489072521030981,-0.06688884816872162
TIP,-0.12766399489557542,0.35475027230275763,-0.02470054752180644,0.15486308172755126,0.14649490346544658,0.057655464436982905,0.058303182019647196,-0.22154687593955863
LQD,-0.08395923205207738,0.39435597191511856,0.10683439141412783,-0.023907185909983954,0.2591915601805824,-0.06284991170786854,0.15679486096598244,0.13718234214449165
HYG,0.26707052274676524,0.15067105411591386,-0.01923739444668433,-0.04952321810450442,0.36850349716449304,-0.1713710619077891,-0.18069397930715636,0.33377534774298406
VNQ,0.19748111846140054,0.22024465523367,0.2803335164442232,-0.13675140235864514,-0.17778881377960065,0.5735036294449701,-0.23150422520372346,0.29322056671950314
GLD,-0.016602391172571822,0.20898700452382252,-0.5216230188494353,0.31015685685748073,-0.5018244524631821,0.04224529634218532,0.24789759847366583,0.38206098262148613
DBC,0.15499916444993628,0.03668934349898147,-0.47702960802682065,0.41515627340277816,0.4610009906107589,0.4023794024363916,-0.15516283134141107,-0.205830619615331
UUP,-0.0442324108710669,-0.160707623144346,0.5220709485775414,0.6573926238294405,0.06267717423977184,-0.011744882171396846,0.030562285519483867,0.12669187550639158
