ticker,systematic_volatility,idiosyncratic_volatility,r_squared
PRPFX,0.08182543926502082,0.06077140990709541,0.6444972891565881
QMN,0.025810301728974663,0.03247562807513691,0.3871205581713537
DBMF,0.04859381753426324,0.11103817095910669,0.16073741282214882
KMLM,0.07936921301606482,0.12234373856353306,0.29620266863178923
BTAL,0.08898000178415602,0.24329944783568488,0.11797349720959649
RPAR,0.11459750501948665,0.05630089795341419,0.8055627661289304
MNA,0.03222469396770588,0.0560220726535135,0.24861267135944265
CTA,0.07292410961603818,0.1397594054137976,0.21399585130429366
