Date,residual_alpha_portfolio
2022-03-23,0.0
2022-03-24,0.0
2022-03-25,0.0
2022-03-28,0.0
2022-03-29,0.0
2022-03-30,0.0
2022-03-31,0.0
2022-04-01,0.0
2022-04-04,0.0
2022-04-05,0.0
2022-04-06,0.0
2022-04-07,0.0
2022-04-08,0.0
2022-04-11,0.0
2022-04-12,0.0
2022-04-13,0.0
2022-04-14,0.0
2022-04-18,0.0
2022-04-19,0.0
2022-04-20,0.0
2022-04-21,0.0
2022-04-22,0.0
2022-04-25,0.0
2022-04-26,0.0
2022-04-27,0.0
2022-04-28,0.0
2022-04-29,0.0
2022-05-02,0.0
2022-05-03,0.0
2022-05-04,0.0
2022-05-05,0.0
2022-05-06,0.0
2022-05-09,0.0
2022-05-10,0.0
2022-05-11,0.0
2022-05-12,0.0
2022-05-13,0.0
2022-05-16,0.0
2022-05-17,0.0
2022-05-18,0.0
2022-05-19,0.0
2022-05-20,0.0
2022-05-23,0.0
2022-05-24,0.0
2022-05-25,0.0
2022-05-26,0.0
2022-05-27,0.0
2022-05-31,0.0
2022-06-01,0.0
2022-06-02,0.0
2022-06-03,0.0
2022-06-06,0.0
2022-06-07,0.0
2022-06-08,0.0
2022-06-09,0.0
2022-06-10,0.0
2022-06-13,0.0
2022-06-14,0.0
2022-06-15,0.0
2022-06-16,0.0
2022-06-17,0.0
2022-06-21,0.0
2022-06-22,0.0
2022-06-23,0.0
2022-06-24,0.008763759119344365
2022-06-27,0.004723691267647265
2022-06-28,0.00363255563796951
2022-06-29,-0.0005535333119643924
2022-06-30,0.002446584569106268
2022-07-01,-0.003687794285940567
2022-07-05,0.0029885574940558125
2022-07-06,0.0027702217613650515
2022-07-07,-0.009659738983922535
2022-07-08,-0.0010121813983827764
2022-07-11,0.001554174374928732
2022-07-12,0.004327924335866575
2022-07-13,-0.0015976040387589618
2022-07-14,0.00617053407427775
2022-07-15,-0.006800243534574819
2022-07-18,0.003081484745937211
2022-07-19,-0.009930709588406944
2022-07-20,0.0015839364985127365
2022-07-21,-0.011001884600636733
2022-07-22,-0.0002879018717912729
2022-07-25,0.003575993823484162
2022-07-26,-0.0014201655544224822
2022-07-27,-0.008578704250119409
2022-07-28,-0.016614787205379764
2022-07-29,-0.006292123227599094
2022-08-01,-0.0020492711821519733
2022-08-02,0.0028550939684783665
2022-08-03,-0.009775216375404166
2022-08-04,-0.007288996433388264
2022-08-05,0.0022402882320571625
2022-08-08,-0.004521022270362653
2022-08-09,0.007201661468647507
2022-08-10,-0.011199249790397818
2022-08-11,0.0035443054611045666
2022-08-12,-0.016060774384346464
2022-08-15,0.0010731516172608876
2022-08-16,0.0035424132924538753
2022-08-17,0.007626428835822261
2022-08-18,0.0018551798606276588
2022-08-19,0.009280709061990657
2022-08-22,0.009309293505933751
2022-08-23,-0.00012099994717269303
2022-08-24,-0.0025839086460897396
2022-08-25,-0.007769627167162107
2022-08-26,0.014613650854412092
2022-08-29,0.0018169026895076862
2022-08-30,0.008548828903822636
2022-08-31,0.0058810440089320975
2022-09-01,0.004059844320408878
2022-09-02,-0.0006900521647060844
2022-09-06,0.0019531538643062763
2022-09-07,-0.010391191411993581
2022-09-08,0.0016757642704654263
2022-09-09,-0.00511689945605123
2022-09-12,-0.004713346509154572
2022-09-13,0.01803297300518618
2022-09-14,0.003912692759402067
2022-09-15,0.01357356625935791
2022-09-16,-0.004754637924284321
2022-09-19,-0.0014060534699832333
2022-09-20,0.005816137882834517
2022-09-21,-0.0007152987972881001
2022-09-22,0.005164323964804034
2022-09-23,0.006228254204648253
2022-09-26,0.006296588943108325
2022-09-27,0.0017081875915880306
2022-09-28,-0.011707808216862346
2022-09-29,0.008485087233891592
2022-09-30,-0.0011923383653780224
2022-10-03,-0.009526098397896256
2022-10-04,-0.011091643213298173
2022-10-05,0.002251466304774968
2022-10-06,0.002346896723406426
2022-10-07,0.007535685072630784
2022-10-10,0.006527066010482774
2022-10-11,-7.385309901158951e-05
2022-10-12,-0.00032116284484127295
2022-10-13,-0.0012157978689282987
2022-10-14,0.007993509057259424
2022-10-17,-0.004914651303732231
2022-10-18,-0.00237016314502183
2022-10-19,0.0052173484278169825
2022-10-20,0.0024611828459316326
2022-10-21,-0.0067634929989697536
2022-10-24,-0.0004415005975007374
2022-10-25,-0.005799300598679965
2022-10-26,8.625416838277649e-05
2022-10-27,-0.0003196674906295857
2022-10-28,0.0014704567099911158
2022-10-31,0.003720659042724465
2022-11-01,-0.0047653246496048435
2022-11-02,0.008780456747299565
2022-11-03,0.0017706895885804873
2022-11-04,-0.01309484685211678
2022-11-07,0.002753638292338178
2022-11-08,-0.006940785648619223
2022-11-09,0.0039134474973160326
2022-11-10,-0.02540173444214411
2022-11-11,-0.0027311369022505645
2022-11-14,0.0036075932957817273
2022-11-15,-0.0041824812122187565
2022-11-16,0.0008689065217608145
2022-11-17,0.0033132150931061027
2022-11-18,0.0006801046444731253
2022-11-21,0.0001563446021990095
2022-11-22,-0.0018094387104227632
2022-11-23,-0.0012235489427615286
2022-11-25,-0.00021348189695716383
