Date,PRPFX,DBMF,KMLM,BTAL,RPAR,MNA,CTA,MTUM,QUAL,USMV,VLUE,JEPI,DIVO,ARKK,QAI,^PUT
2022-03-23,-0.0005077718495018297,0.004285530952116714,-0.0029395041546009977,0.00016617220311155624,0.0023702735534984407,0.0007869136384257038,0.005987084295584793,-0.005602912111182204,-0.0027478723981037515,-0.004670149042195186,-0.0015699135729642377,0.0020648057433718444,0.002440586032997726,-0.008723359219514032,-0.0009890592944441245,0.00198788504608939
2022-03-24,0.006313464798149588,-0.012847585223114633,0.010987385632043177,-0.001124256954051515,-0.0016156425090602979,-0.0019798365548979223,-0.017305091926388863,0.0036272091307432835,0.004730782080869406,0.002808422009840378,0.005226139123447984,-0.0015480503581147146,-0.0013998981221006474,-0.005548960884843947,0.002252663705539552,-0.00035839385034974486
2022-03-25,6.201393059538079e-05,0.010612579139104747,0.0058308999932170655,0.015052652767307526,0.0038834938438891244,0.002799412279760111,-0.004144008505883189,0.0002349950871991769,0.002813668731466626,0.0039056395849784787,0.005862702692893122,0.003246698661833843,0.004697716020119234,-0.02335812851003811,-0.002280988318970992,0.0019398498641078747
2022-03-28,-0.0008458242851051099,0.00015683953047253198,-0.004116653992395827,-0.008866136640191941,-0.0023101823699162335,0.0003179274864304341,-0.008059998623279132,0.005379885807533696,0.0005828954545957828,0.002243419033652109,-0.0062155594881592524,-0.0029928946632133266,-0.0013149780714433153,0.032990843372901736,-0.00042929454327750825,-0.0029001925208773684
2022-03-29,-0.004578749601950436,-0.0064223592170489395,-0.0042192994396319985,-0.01053431942699139,-0.005298706399863675,-0.0014293768349982377,-0.014278067393048393,-0.0008545779284569888,0.0016770146412632171,-0.002542257161021128,-0.0029927920822302723,-0.011452914772196518,-0.011161467424950066,0.0489896405306348,0.0032592287365460926,-0.008333262789059546
2022-03-30,0.0013266017953721086,-0.006102853873819399,0.007213391773329627,0.005605717635807539,-0.000861316250698063,-0.0013348217143837847,0.021318627229506306,-0.0030606077383825286,0.0013244521247583168,0.00541287995519984,-0.0008931113926340974,0.005670287667057364,0.0069641367581625875,-0.029148460263523454,-5.058392830153968e-05,0.007055649552151227
2022-03-31,0.0009771943029711324,-0.0063060725592041,-0.00579578374823286,0.0021555561622195202,0.004765683146800068,0.001139627391748563,-0.005621502573639077,-0.0033834968063612553,-0.0022250918750653537,-0.00040629396239201965,-0.007930735431838974,0.004125818419579348,-0.0005741186151743943,-0.019069672295118974,-0.0001462538609378868,0.004325052262565895
2022-04-01,-0.002738644640192447,0.0066934001843564715,-0.000671563287678709,0.0023430461601017328,0.001180676309385878,0.002406394438096652,-0.0030744179440733354,-0.00367039591796199,-0.005000380629267093,-0.00041708744561578734,-0.00828717909749067,-0.003375369460021642,-0.005717708631656933,0.016328871332575646,-0.00013184336659620823,-0.003475321536618582
2022-04-04,0.00015099964217853926,0.009050804160526739,0.0029811995337184665,-0.016204429712941348,-0.0006638493229619321,-0.003814988853790951,-0.007313664398747799,0.0010919278410402352,-0.0002562380074871539,-0.002777266951211564,-0.00667504872248437,-0.006541285703918898,-0.007368107417137201,0.027862397448672555,0.002179507733939162,-0.005473509455316161
2022-04-05,-0.0029120645907950264,0.016216657881922437,0.008431611326029823,0.017324787214063973,-0.00010975849509147623,0.006424894053395551,0.0069704283464646286,-0.006806781905140419,0.0003608247523940785,0.006900910772772972,-0.0034653641739022783,0.011061842411698417,0.009639026005035883,-0.03445556471739909,-0.0017869889205631463,0.0070004103791950715
