Date,raw,neutral
2012-01-04,,
2012-01-05,,
2012-01-06,,
2012-01-09,,
2012-01-10,,
2012-01-11,,
2012-01-12,,
2012-01-13,,
2012-01-17,,
2012-01-18,,
2012-01-19,,
2012-01-20,,
2012-01-23,,
2012-01-24,,
2012-01-25,,
2012-01-26,,
2012-01-27,,
2012-01-30,,
2012-01-31,,
2012-02-01,,
2012-02-02,,
2012-02-03,,
2012-02-06,,
2012-02-07,,
2012-02-08,,
2012-02-09,,
2012-02-10,,
2012-02-13,,
2012-02-14,,
2012-02-15,,
2012-02-16,,
2012-02-17,,
2012-02-21,,
2012-02-22,,
2012-02-23,,
2012-02-24,,
2012-02-27,,
2012-02-28,,
2012-02-29,,
2012-03-01,,
2012-03-02,,
2012-03-05,,
2012-03-06,,
2012-03-07,,
2012-03-08,,
2012-03-09,,
2012-03-12,,
2012-03-13,,
2012-03-14,,
2012-03-15,,
2012-03-16,,
2012-03-19,,
2012-03-20,,
2012-03-21,,
2012-03-22,,
2012-03-23,,
2012-03-26,,
2012-03-27,,
2012-03-28,,
2012-03-29,,
2012-03-30,,
2012-04-02,,
2012-04-03,,
2012-04-04,,
2012-04-05,1.0012489233060604,1.0051870163119325
2012-04-09,0.9999163809395868,1.0094051303896197
2012-04-10,0.9914105863094935,1.0112431174233023
2012-04-11,0.99556231495979,1.00994066716629
2012-04-12,1.0041229084132326,1.010538232751962
2012-04-13,0.9999442522728097,1.0118765472146827
2012-04-16,0.9996321027448244,1.0112857419000816
2012-04-17,1.0046242417933144,1.0176295628818355
2012-04-18,1.0027674277908911,1.0149531672636134
2012-04-19,1.0010096198488574,1.0123436946269744
2012-04-20,1.0030123267404412,1.0149211609747033
2012-04-23,1.0009520442063178,1.0221755724736694
2012-04-24,1.0002145532898303,1.0202918845628173
2012-04-25,1.0042497428480546,1.017337580660816
2012-04-26,1.0089926237269968,1.0219458478016883
2012-04-27,1.0109898444902468,1.0218136306824488
2012-04-30,1.009613882630976,1.024248050281475
2012-05-01,1.0108103441588685,1.020228448800603
2012-05-02,1.010662150024511,1.027050268142358
2012-05-03,1.0064398416808658,1.0300930430927444
2012-05-04,1.0003757917218867,1.0409707154280583
2012-05-07,1.0019217403603935,1.03844302585145
2012-05-08,1.0000427403329553,1.04674454722804
2012-05-09,0.9965457217983507,1.050220108133208
2012-05-10,0.9964323236056285,1.0476411767899492
2012-05-11,0.9963235964930107,1.050440735454803
2012-05-14,0.9880940951512511,1.0556306893579317
2012-05-15,0.9847368155994312,1.065337104884266
2012-05-16,0.9795585125995636,1.0682020986378826
2012-05-17,0.9698569644969468,1.0730303345619598
2012-05-18,0.9646736366910239,1.071077995786394
2012-05-21,0.9800310965495572,1.0686006346663548
2012-05-22,0.9743796267361755,1.0652986267190525
2012-05-23,0.9717315344493681,1.0721252895513915
2012-05-24,0.9700804408539925,1.074877454024535
2012-05-25,0.9691911621414278,1.0798388177487024
2012-05-29,0.9827420315250825,1.0724752991194204
2012-05-30,0.9696481556196639,1.0938220172992694
2012-05-31,0.9707796183583902,1.0943451020232955
2012-06-01,0.9514018757440109,1.1138766820211419
2012-06-04,0.9502798425772719,1.1089752847555907
2012-06-05,0.9522898761584383,1.111123309951765
2012-06-06,0.961417903044338,1.1122336886694402
2012-06-07,0.961651803189868,1.109633562496626
2012-06-08,0.9648798154684942,1.1170132531569112
2012-06-11,0.956669022984392,1.1229424168412936
2012-06-12,0.962601718254502,1.1108719709506236
2012-06-13,0.9601669892085967,1.1197160608310328
2012-06-14,0.9655338785234193,1.1146636394704061
2012-06-15,0.9731115196188912,1.1113674797590443
2012-06-18,0.9748325866683819,1.115011520100385
