strategy,source,beta,factor_volatility,risk_contribution,variance_contribution,variance_contribution_pct,annual_return_contribution
raw,Factor_1,0.00046326432115518406,42.400730380567026,0.019642745576237373,5.906804795689753e-06,0.14022227247437646,-0.0033293201401223107
raw,Factor_2,0.0011247618858432947,37.19259333143363,0.041832811414866035,1.0218951368351836e-05,0.2425887823855379,0.001620127529772024
raw,Factor_3,-0.0004839282017243439,18.81684697945775,-0.009106002920891141,4.797390497957765e-08,0.0011388576748997937,-0.001445967999963058
raw,Factor_4,0.00039451955877651927,14.034883381497657,0.005537035999148359,2.63540614794678e-07,0.006256218915981424,-0.002586487623696231
raw,Factor_5,6.054522279693175e-05,13.156108747493272,0.0007965395352576429,1.7815542503557965e-08,0.0004229250739817323,-0.00027432691803178886
raw,Factor_6,0.000575531314825074,13.757581110184178,0.007917918745156901,-6.202415136690707e-08,-0.0014723979805983788,0.004099963193202818
raw,Factor_7,5.456097144474105e-05,12.901241875641864,0.0007039042895785932,2.2314807121342995e-08,0.0005297335992320918,5.3698487474381506e-05
raw,Factor_8,-8.917736417759283e-05,13.19439729566248,-0.0011766415727391389,-4.5920662195096e-09,-0.00010901155242548757,4.247706468206042e-05
raw,SPX_beta,0.3554085819022173,0.16655087033323038,0.059193608639713485,2.07230327170665e-05,0.4919462959514638,0.053630137020310074
raw,Intercept,0.0,0.0,0.0,0.0,0.0,0.0
raw,Residual,0.0,0.035561142025862094,0.035561142025862094,5.0182334213632345e-06,0.1191283813312894,0.03365785310956244
neutral,Factor_1,-0.0012335505601871717,42.400730380567026,-0.052303444713293686,3.8276284444221534e-06,0.09415991255414309,0.008865100411034216
neutral,Factor_2,0.0011889123654909763,37.19259333143363,0.04421873411641867,8.273482659974163e-06,0.20352821991294257,0.0017125310504046292
neutral,Factor_3,-0.0004840795312855942,18.81684697945775,-0.009108850466088657,3.4603995116745675e-07,0.008512605655245791,-0.001446420169731707
neutral,Factor_4,0.001778463212814363,14.034883381497657,0.024960523790133235,2.569315011641707e-06,0.06320531899400525,-0.011659683244624892
neutral,Factor_5,9.183078226549598e-05,13.156108747493272,0.0012081357578522418,3.755283216257023e-08,0.0009238021516275572,-0.0004160799864232791
neutral,Factor_6,0.0016089009393758281,13.757581110184178,0.022134585171714474,1.547313985214002e-06,0.03806402623898053,0.011461469537856936
neutral,Factor_7,-0.0004222494687606178,12.901241875641864,-0.005447542528342013,1.7903872241868438e-07,0.004404364397311261,-0.0004155746719478868
neutral,Factor_8,0.0013908322479052864,13.19439729566248,0.01835119325048168,1.53733581720194e-06,0.03781856264680886,-0.000662482816138366
neutral,SPX_beta,0.20477489284010952,0.16655087033323038,0.03410543662491423,1.4952213687241093e-07,0.00367825444325234,0.030899944797494694
neutral,Intercept,0.0,0.0,0.0,0.0,0.0,0.0
neutral,Residual,0.0,0.07476820718546806,0.07476820718546806,2.2183669864004273e-05,0.5457197439235678,0.0009969833182918951
