Date,residual_alpha
2022-03-23,1.0
2022-03-24,1.0
2022-03-25,1.0
2022-03-28,1.0
2022-03-29,1.0
2022-03-30,1.0
2022-03-31,1.0
2022-04-01,1.0
2022-04-04,1.0
2022-04-05,1.0
2022-04-06,1.0
2022-04-07,1.0
2022-04-08,1.0
2022-04-11,1.0
2022-04-12,1.0
2022-04-13,1.0
2022-04-14,1.0
2022-04-18,1.0
2022-04-19,1.0
2022-04-20,1.0
2022-04-21,1.0
2022-04-22,1.0
2022-04-25,1.0
2022-04-26,1.0
2022-04-27,1.0
2022-04-28,1.0
2022-04-29,1.0
2022-05-02,1.0
2022-05-03,1.0
2022-05-04,1.0
2022-05-05,1.0
2022-05-06,1.0
2022-05-09,1.0
2022-05-10,1.0
2022-05-11,1.0
2022-05-12,1.0
2022-05-13,1.0
2022-05-16,1.0
2022-05-17,1.0
2022-05-18,1.0
2022-05-19,1.0
2022-05-20,1.0
2022-05-23,1.0
2022-05-24,1.0
2022-05-25,1.0
2022-05-26,1.0
2022-05-27,1.0
2022-05-31,1.0
2022-06-01,1.0
2022-06-02,1.0
2022-06-03,1.0
2022-06-06,1.0
2022-06-07,1.0
2022-06-08,1.0
2022-06-09,1.0
2022-06-10,1.0
2022-06-13,1.0
2022-06-14,1.0
2022-06-15,1.0
2022-06-16,1.0
2022-06-17,1.0
2022-06-21,1.0
2022-06-22,1.0
2022-06-23,1.0
2022-06-24,1.0087637591193443
2022-06-27,1.0135288476794153
2022-06-28,1.0172105476092979
2022-06-29,1.0166474876859146
2022-06-30,1.0191348017415076
2022-07-01,1.015376442243042
2022-07-05,1.0184109531187953
2022-07-06,1.0212321773031374
2022-07-07,1.011367341028406
2022-07-08,1.0103436538188852
2022-07-11,1.0119139040355225
2022-07-12,1.0162933908465994
2022-07-13,1.014669756420819
2022-07-14,1.0209308107269526
2022-07-15,1.0139882325820584
2022-07-18,1.0171128218533199
2022-07-19,1.0070121698008494
2022-07-20,1.0086072131310433
2022-07-21,0.9975106329648057
2022-07-22,0.9972234477864435
2022-07-25,1.0007895126763613
2022-07-26,0.999368225883231
2022-07-27,0.9907949414364122
2022-07-28,0.9743330943202795
2022-07-29,0.9682024704260883
2022-08-01,0.9662183610049558
2022-08-02,0.9689770052196942
2022-08-03,0.9595050453308807
2022-08-04,0.9525112164776458
2022-08-05,0.9546451161468231
2022-08-08,0.9503291443164303
2022-08-09,0.9571730930975867
2022-08-10,0.9464534725353392
2022-08-11,0.9498079927467277
2022-08-12,0.9345533408667734
2022-08-15,0.9355562582959411
2022-08-16,0.9388703852211672
2022-08-17,0.9460306134001175
2022-08-18,0.9477856703416346
2022-08-19,0.9565817934011991
2022-08-22,0.9654868940784034
2022-08-23,0.9653700702152239
2022-08-24,0.9628756421441186
2022-08-25,0.955394457396317
2022-08-26,0.9693562584249473
2022-08-29,0.9711174844179706
2022-08-30,0.9794194016377705
2022-08-31,0.9851794102420042
2022-09-01,0.989179085275259
2022-09-02,0.9884965001061828
2022-09-06,0.9904271858652185
2022-09-07,0.9801354673972508
2022-09-08,0.981777943393731
2022-09-09,0.9767542843692166
2022-09-12,0.9721505029726832
2022-09-13,0.9896812667497679
2022-09-14,0.9935535854762955
2022-09-15,1.0070396509009807
2022-09-16,1.0022515419855489
2022-09-19,1.0008423227271441
2022-09-20,1.0066633596751016
2022-09-21,1.0059432945846518
2022-09-22,1.0111383116481092
2022-09-23,1.0174359380891125
2022-09-26,1.0238423139672055
2022-09-27,1.025591228703667
2022-09-28,1.0135838032891082
2022-09-29,1.0221841502788758
2022-09-30,1.0209653609000169
2022-10-03,1.0112395444112396
2022-10-04,1.000023236181452
2022-10-05,1.0022747548017066
2022-10-06,1.0046269901397036
2022-10-07,1.0121975427528613
2022-10-10,1.0188042229300578
2022-10-11,1.0187289810809081
2022-10-12,1.0184018031832218
2022-10-13,1.0171636324411988
2022-10-14,1.0252943391498324
2022-10-17,1.0202553749892203
2022-10-18,1.0178372033009104
2022-10-19,1.0231476146333263
2022-10-20,1.0256657679913177
2022-10-21,1.0187286847502255
2022-10-24,1.0182789154272172
2022-10-25,1.012373609903357
2022-10-26,1.0124609313471717
2022-10-27,1.0121372805018876
2022-10-28,1.0136255845574336
2022-10-31,1.0173969397545541
2022-11-01,1.012548713039109
2022-11-02,1.021439353218483
2022-11-03,1.0232480052465933
2022-11-04,1.009848729326155
2022-11-07,1.0126294874566966
2022-11-08,1.0056010432427884
2022-11-09,1.0095364101287652
2022-11-10,0.9838924343289988
2022-11-11,0.9812052893937577
2022-11-14,0.9847450790175603
2022-11-15,0.9806264012257444
2022-11-16,0.9814784739011804
2022-11-17,0.9847303231944685
