experiment,setting,mean_oos_r2,worst_oos_r2
factor_count,3,0.6256033083481995,0.2253632610522983
factor_count,4,0.672261758696082,0.37101557040182753
factor_count,5,0.6870694351817039,0.3920444402715765
factor_count,6,0.7260654728009178,0.418198105233446
factor_count,7,0.7470503200314955,0.5406010462313535
factor_count,8,0.7670438659527835,0.5496844959174016
