ticker,basis,oos_r_squared,residual_volatility,n_factors
ACWI,nonlinear,0.8740753492440978,0.05763463217260385,3
SPY,nonlinear,0.8085752215289501,0.07543541260882416,3
DIA,nonlinear,0.749654713397854,0.0744612050885234,3
QQQ,nonlinear,0.6928272016783699,0.12679179552621195,3
IWM,nonlinear,0.7022020667178677,0.12210710442600343,3
EFA,nonlinear,0.7685983523528942,0.07979262903385616,3
EEM,nonlinear,0.6469554384758851,0.11670479360077012,3
AGG,nonlinear,0.6652983214634856,0.03605509302205985,3
SHY,nonlinear,0.3610397029309973,0.016399126580519795,3
IEF,nonlinear,0.7273045897187613,0.04058548275221173,3
TLT,nonlinear,0.7074175031198605,0.08445381312327152,3
TIP,nonlinear,0.6393053578576349,0.036713091936985805,3
LQD,nonlinear,0.7284655484088912,0.04530641496105767,3
HYG,nonlinear,0.6038885922038746,0.048440708918530744,3
VNQ,nonlinear,0.49836808160415447,0.1357714988759474,3
GLD,nonlinear,0.3957674320981286,0.14808437285071116,3
DBC,nonlinear,0.2253632610522983,0.1633224310092943,3
UUP,nonlinear,0.4657528164135858,0.05411176916214133,3
ACWI,nonlinear,0.8748572819277982,0.057450445089805,4
SPY,nonlinear,0.8060104718483323,0.07591110618526417,4
DIA,nonlinear,0.7550909614757729,0.07357647327702618,4
QQQ,nonlinear,0.697290363800206,0.12586577406412433,4
IWM,nonlinear,0.6900325043617245,0.12452687338835222,4
EFA,nonlinear,0.789674349587289,0.07607429517356089,4
EEM,nonlinear,0.6461628803805944,0.1168723895540232,4
AGG,nonlinear,0.669324688123466,0.03583821429781335,4
SHY,nonlinear,0.37101557040182753,0.016271667308120564,4
IEF,nonlinear,0.7342721911188954,0.04006283251827794,4
TLT,nonlinear,0.7132881143278682,0.08358537479638799,4
TIP,nonlinear,0.6703790862771022,0.03505369559063671,4
LQD,nonlinear,0.7266969158937098,0.04544519251492988,4
HYG,nonlinear,0.5951892151227389,0.04897056139364657,4
VNQ,nonlinear,0.4787597734032689,0.1383585771814093,4
GLD,nonlinear,0.39418459745070067,0.14847686794444856,4
DBC,nonlinear,0.7439363655863329,0.09387533034036535,4
UUP,nonlinear,0.7445463254418477,0.0374187200679453,4
ACWI,nonlinear,0.8602379965620846,0.06072147458409446,5
SPY,nonlinear,0.7973227335947622,0.07760947578791451,5
DIA,nonlinear,0.7430560501827792,0.07539287132866221,5
QQQ,nonlinear,0.6876763085065791,0.12785159541267357,5
IWM,nonlinear,0.7041131164309846,0.12167668235362479,5
EFA,nonlinear,0.7823255185140605,0.07739139171637796,5
EEM,nonlinear,0.6425941831485531,0.11743438094901638,5
AGG,nonlinear,0.6893827251595019,0.03473632375896575,5
SHY,nonlinear,0.3920444402715765,0.015991507824280486,5
IEF,nonlinear,0.7571835117806263,0.038297909633406686,5
TLT,nonlinear,0.7394295589538575,0.079726890179124,5
TIP,nonlinear,0.6760500713010842,0.03477338149208152,5
LQD,nonlinear,0.7479380054831826,0.04365804706879504,5
HYG,nonlinear,0.598133273823406,0.04879139358713493,5
VNQ,nonlinear,0.6472676558686079,0.11381961631015106,5
GLD,nonlinear,0.46679149651771334,0.13924367587431216,5
DBC,nonlinear,0.7390633558131146,0.09475592963406879,5
UUP,nonlinear,0.6966398313581976,0.04077739711685182,5
ACWI,nonlinear,0.8736407885369282,0.057736026879624765,6
SPY,nonlinear,0.8095729000149533,0.07523337200066767,6
DIA,nonlinear,0.7516183024235891,0.0741632976811389,6
QQQ,nonlinear,0.7192530858606132,0.12120830133939128,6
IWM,nonlinear,0.6964941651497044,0.12323809246997816,6
EFA,nonlinear,0.8039824553607702,0.07343057601293015,6
EEM,nonlinear,0.6539366068781174,0.1155550982894638,6
AGG,nonlinear,0.696014849164643,0.034358610151425654,6
SHY,nonlinear,0.418198105233446,0.015659375322459597,6
IEF,nonlinear,0.7581661572196384,0.038219541820503224,6
TLT,nonlinear,0.7405803810697165,0.07953743895344619,6
TIP,nonlinear,0.6797629864242625,0.034559261737605436,6
LQD,nonlinear,0.768455245564881,0.04185156546206444,6
HYG,nonlinear,0.610675488562703,0.048016490210485,6
VNQ,nonlinear,0.7466635355850508,0.09650639514722692,6
GLD,nonlinear,0.6464989116256603,0.11352750218190402,6
DBC,nonlinear,0.8583943197074724,0.06984037237988673,6
UUP,nonlinear,0.8372702260343721,0.029864523903188823,6
ACWI,nonlinear,0.8648937064588291,0.05970080422194258,7
SPY,nonlinear,0.7984349708710566,0.07738736183028012,7
DIA,nonlinear,0.7441641788346703,0.07523890568301864,7
QQQ,nonlinear,0.7195597412590428,0.12112779150185421,7
IWM,nonlinear,0.6978779332372125,0.12294112454154305,7
EFA,nonlinear,0.7881185270427615,0.07635383405129682,7
EEM,nonlinear,0.6516902197224123,0.11593681386814952,7
AGG,nonlinear,0.6978166782709895,0.034257754322644746,7
SHY,nonlinear,0.5406010462313535,0.013922577183569908,7
IEF,nonlinear,0.7762885507782571,0.03675660037150618,7
TLT,nonlinear,0.7828845968720393,0.07277939981461738,7
TIP,nonlinear,0.6866997706289375,0.034202647381431604,7
LQD,nonlinear,0.7524151266571728,0.04327241701558335,7
HYG,nonlinear,0.6136686691238051,0.047837517876749065,7
VNQ,nonlinear,0.874628313477486,0.06787252961072528,7
GLD,nonlinear,0.7426902585992288,0.0966615335957034,7
DBC,nonlinear,0.8956286139908456,0.05995192145562325,7
UUP,nonlinear,0.8188448585108177,0.031499510026000904,7
ACWI,nonlinear,0.8715133543248361,0.058187086837525395,8
SPY,nonlinear,0.8083299370437966,0.07540333184013955,8
DIA,nonlinear,0.7495459487871122,0.07435500951978471,8
QQQ,nonlinear,0.7322248472150594,0.11832109630334758,8
IWM,nonlinear,0.7036025804352588,0.12174978089623593,8
EFA,nonlinear,0.7801242544564402,0.07778200600164764,8
EEM,nonlinear,0.662909539113933,0.11409111967011598,8
AGG,nonlinear,0.6931637266624675,0.03452436883032232,8
SHY,nonlinear,0.5496844959174016,0.013772155339111969,8
IEF,nonlinear,0.7761792949419289,0.03676956385127685,8
TLT,nonlinear,0.7788218051910434,0.07351468302578557,8
TIP,nonlinear,0.6779814730960043,0.034698512628475425,8
LQD,nonlinear,0.7766846320934979,0.0411003560247986,8
